TimeSeries ID,tpu/mxu/utilization.tpu_worker.ALIGN_MEAN.REDUCE_MEAN.resource.type=tpu_worker AND resource.label.project_id="intercloud-320520" AND metric.type="tpu.googleapis.com/tpu/mxu/utilization" AND resource.labels.zone="us-central1-b" AND resource.labels.node_id="test-chain-app-0-train-op".project_id:intercloud-320520.worker_id:0
worker_id,0
project_id,intercloud-320520
Thu Sep 08 2022 20:35:30 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:35:40 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:35:50 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:36:00 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:36:10 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:36:20 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:36:30 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:36:40 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:36:50 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:37:00 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:37:10 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:37:20 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:37:30 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:37:40 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:37:50 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:38:00 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:38:10 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:38:20 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:38:30 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:38:40 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:38:50 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:39:00 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:39:10 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:39:20 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:39:30 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:39:40 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:39:50 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:40:00 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:40:10 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:40:20 GMT-0700 (Pacific Daylight Time),0
Thu Sep 08 2022 20:40:30 GMT-0700 (Pacific Daylight Time),0
